Date,Reliance,Kotak Bank,HDFC Bank,Baj Finance,TITAN,L & T,TATA Motors,Britannia,Asian Paint
2017/03/07,646.348267,817,693.099976,1052.400024,439.549988,990.93335,467.549988,1529.574951,1023.950012
2017/03/08,639.537842,824.900024,696.099976,1081.199951,440.950012,984.200012,462.799988,1542.699951,1022.549988
2017/03/09,637.33374,825.450012,697.099976,1087.199951,442.25,984.599976,467.600006,1539.300049,1031.099976
2017/03/10,634.807678,828.900024,700.049988,1094.5,445.299988,994.400024,469.100006,1561.25,1030.25
2017/03/14,638.695801,836.150024,705.349976,1126.699951,462.200012,1038.733276,469.75,1588.375,1071.400024
2017/03/15,646.348267,844.150024,708.299988,1134.550049,462.049988,1032.599976,473.450012,1595.125,1064.050049
2017/03/16,642.732544,851.400024,708.674988,1163.5,465.799988,1047.366699,480.950012,1612.525024,1087.550049
2017/03/17,644.243225,848.25,712.924988,1159.300049,463.5,1035.033325,476.5,1623.775024,1079.449951
2017/03/20,634.386658,854.599976,718.049988,1172.550049,465.549988,1025.099976,476,1625.875,1079.699951
2017/03/21,625.966492,859.549988,720.474976,1174.550049,463.700012,1032.699951,473.75,1647.175049,1068.699951
2017/03/22,623.93573,862.200012,715.450012,1159.699951,445.75,1019.900024,459.899994,1662.875,1057.849976
2017/03/23,630.671875,868.150024,715.450012,1185.75,452,1029.266724,472.899994,1647.875,1061.599976
2017/03/24,637.33374,879.349976,712.174988,1177.050049,447.950012,1034.133301,470.399994,1649.074951,1064.25
2017/03/27,619.676086,871.150024,704.924988,1185,447.950012,1029.266724,464.75,1652.050049,1042.900024
2017/03/28,617.026184,859.450012,710.099976,1194.75,453.649994,1029.5,472.399994,1669.775024,1057.849976
2017/03/29,622.425049,857.599976,714.299988,1180.75,455,1037.699951,469.049988,1695.699951,1068.099976
2017/03/30,629.359314,865.150024,733.099976,1181.050049,457.299988,1038.300049,468.399994,1697.574951,1070.099976
2017/03/31,654.248352,872.200012,721.275024,1171.099976,462.75,1049.93335,465.850006,1687,1073.5
2017/04/03,680.871033,875.950012,716.599976,1181.75,459.350006,1107.333374,470.399994,1695.849976,1089.849976
2017/04/05,700.856567,889.849976,716.174988,1173.099976,491.75,1130.966675,473.5,1687.949951,1082.550049
2017/04/06,712.496277,894.349976,719.25,1198.099976,487.399994,1122.133301,473.200012,1678.574951,1086.900024
2017/04/07,696.696045,873.099976,719.424988,1201.599976,485.399994,1123.666626,468.299988,1678.724976,1082.949951
2017/04/10,684.189575,877.349976,717.075012,1240.75,485.75,1116.033325,474.899994,1708.425049,1059.199951
2017/04/11,679.731812,881.049988,719.75,1255.949951,486.75,1136.599976,472.25,1701.400024,1072.5
2017/04/12,670.643005,879.400024,721.849976,1266.199951,479.799988,1135.199951,464.549988,1724.5,1070.449951
2017/04/13,675.992249,879.5,720.150024,1273.900024,484.149994,1119.033325,453.350006,1701.900024,1078.300049
2017/04/17,689.390259,887.599976,718.400024,1259.550049,481.25,1120.900024,449.200012,1692.650024,1059.349976
2017/04/18,678.666931,881.650024,723.650024,1236.050049,471.200012,1113,443.700012,1684.25,1040.449951
